August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
151,110,NA,NA,NA,NA,170,NA,3157,2392,NA,NA,NA,NA,2666,NA
NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,1418,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,2201,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,531,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,563,NA,NA
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,1750,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,3117,NA,NA,NA,NA,NA
NA,73,NA,NA,83,NA,NA,NA,NA,4585,NA,NA,4382,NA,NA,NA
NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,2437,NA
NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,130104,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,70816
NA,NA,NA,121,83,NA,68,NA,NA,NA,NA,60628,83266,NA,68258,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,83266,NA,NA,NA
NA,73,NA,NA,124,NA,NA,NA,NA,73368,NA,NA,124899,NA,NA,NA
NA,NA,77,NA,124,86,NA,70,NA,NA,38969,NA,62449,28912,NA,35408
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,17347,NA,NA
NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,2497,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,2319,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1089
NA,110,NA,NA,NA,173,68,NA,NA,4784,NA,NA,NA,4565,4015,NA
NA,NA,NA,121,NA,NA,68,NA,NA,NA,NA,4041,NA,NA,3102,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,2441
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,3202,NA,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,4315,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,1283,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,9751,NA
NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,2957,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,10824,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,6437
